method,feat,seq_id,-xent@16,acc 8/16,acc 1/16
permute,none,110,-0.80625266,0.82835823,0.31343284
permute,none,111,-0.639405,0.82312924,0.42857143
permute,none,112,-0.6806426,0.8637993,0.3655914
permute,none,113,-0.8132526,0.87,0.274
permute,none,114,-0.8001002,0.856,0.22
permute,none,115,-0.8162067,0.85106385,0.26595744
permute,none,116,-0.90624064,0.7326203,0.22459893
permute,none,117,-0.88057166,0.7364341,0.18604651
permute,none,118,-0.9049348,0.74666667,0.21666667
permute,none,119,-0.8895524,0.7652439,0.18902439
permute,none,120,-0.9379483,0.7058824,0.16862746
permute,none,121,-0.9553224,0.6826923,0.10576923
permute,none,122,-0.8071339,0.830303,0.3090909
permute,none,123,-0.89896846,0.7815126,0.14285715
permute,none,124,-0.93561244,0.74380165,0.11570248
permute,none,125,-0.9727986,0.60645163,0.13870968
permute,none,126,-0.96176493,0.67479676,0.10569106
permute,none,127,-0.8239274,0.87058824,0.2647059
permute,none,128,-0.6628591,0.9126984,0.2777778
permute,none,129,-0.7863352,0.8410405,0.27745664
permute,none,130,-0.93435824,0.72469634,0.12955466
permute,none,131,-0.8051801,0.78,0.248
permute,none,132,-0.87134063,0.77692306,0.16153847
permute,none,133,-0.7126209,0.8513514,0.41216215
permute,none,134,-0.5394213,0.9517685,0.45659164
permute,none,135,-0.60535246,0.9324324,0.4436937
permute,none,136,-0.5324873,0.944,0.516
permute,none,137,-0.33383104,0.9574468,0.7659575
permute,none,138,-0.7252299,0.9236277,0.31264916
permute,none,139,-0.9564918,0.67,0.154
permute,none,140,-0.937082,0.744,0.132
permute,none,141,-0.927604,0.72897196,0.12772585
permute,none,142,-0.98775977,0.61650485,0.0776699
permute,none,143,-1.0003499,0.62222224,0.096296296
permute,none,144,-0.9217928,0.7723577,0.13414635
permute,none,145,-0.95490223,0.67391306,0.13043478
permute,none,146,-0.99263114,0.6048387,0.09677419
permute,none,147,-0.987433,0.6,0.09047619
permute,none,148,-0.95434165,0.666,0.154
permute,none,149,-0.9896066,0.604,0.104
permute,none,150,-0.9617903,0.6594203,0.12801932
median,none,0,-0.66567814,0.87635577,0.38611713
median,none,1,-0.75824535,0.8042553,0.3531915
median,none,2,-0.6804132,0.9206349,0.4563492
median,none,3,-0.8985952,0.7051282,0.1965812
median,none,4,-0.8505158,0.779661,0.16949153
median,none,5,-0.82365376,0.795082,0.19262294
median,none,6,-0.8748497,0.795082,0.13934426
median,none,7,-0.87401456,0.8196721,0.20081967
median,none,8,-0.83045644,0.7113402,0.19587629
median,none,9,-0.8474643,0.68333334,0.2
median,none,10,-0.8452011,0.79916316,0.22175732
median,none,11,-0.5462497,0.94699645,0.37102473
median,none,12,-0.92409354,0.7366255,0.17283951
median,none,13,-0.9338147,0.668,0.068
median,none,14,-0.9003328,0.792,0.184
median,none,15,-0.8846733,0.75977653,0.23463687
median,none,16,-0.85429996,0.7181009,0.2908012
median,none,17,-0.75877315,0.93782383,0.24870466
median,none,18,-0.9124553,0.79693484,0.20689656
median,none,19,-0.9157341,0.76077586,0.18534483
median,none,20,-0.9055944,0.7715736,0.14213198
median,none,21,-0.983437,0.706,0.124
median,none,22,-0.9357889,0.74545455,0.16363636
median,none,23,-0.9549086,0.68356997,0.15010142
median,none,24,-0.86887157,0.86752135,0.08974359
median,none,25,-0.9124298,0.7620818,0.15241636
median,none,26,-0.9856555,0.7290503,0.11452514
median,none,27,-0.8755642,0.8578199,0.12796208
median,none,28,-0.82013613,0.8251748,0.24475524
median,none,29,-0.6402348,0.9264305,0.35149863
median,none,30,-0.78779566,0.834,0.286
median,none,31,-0.80017954,0.94,0.16
median,none,32,-0.8415713,0.83146065,0.21910113
median,none,33,-0.7141022,0.83516484,0.2802198
median,none,34,-0.62959355,0.9300699,0.3846154
median,none,35,-0.86546326,0.82530123,0.19879518
median,none,36,-1.0044414,0.6421053,0.110526316
median,none,37,-0.98903835,0.5323741,0.02877698
median,none,38,-0.999774,0.56112224,0.0761523
median,none,39,-0.9997428,0.44444445,0.071428575
median,none,40,-0.9992127,0.514,0.06
median,none,41,-1.0001551,0.49285713,0.071428575
median,none,42,-0.9997083,0.50775194,0.054263566
median,none,43,-0.90196776,0.7569444,0.1736111
median,none,44,-0.8884137,0.75,0.19166666
median,none,45,-0.96006465,0.6510989,0.1456044
median,none,46,-0.9637139,0.7285714,0.07619048
median,none,47,-0.9492895,0.7268171,0.05263158
median,none,48,-1.0094576,0.5837838,0.048648648
median,none,49,-0.9684149,0.5879121,0.20054945
median,none,50,-0.9598485,0.63432837,0.17661692
median,none,51,-0.9424855,0.6862069,0.17586207
median,none,52,-0.961519,0.7175,0.1025
median,none,53,-0.98321867,0.5785124,0.10743801
median,none,54,-0.67030597,0.878,0.39
median,none,55,-0.6596308,0.902,0.426
median,none,56,-0.7542049,0.834,0.328
median,none,57,-0.67930144,0.872,0.386
median,none,58,-0.63772523,0.914,0.322
median,none,59,-0.73156494,0.88,0.52
median,none,60,-0.5806781,0.9518072,0.32128513
median,none,61,-0.62275624,0.95454544,0.29545453
median,none,62,-0.60359186,0.9489051,0.30656934
median,none,63,-0.5895563,0.9503106,0.3478261
median,none,64,-0.7785408,0.74285716,0.34285715
median,none,65,-0.66077644,0.9785714,0.27857143
median,none,66,-0.5877196,0.886076,0.48734176
median,none,67,-0.6976952,0.96825397,0.31746033
median,none,68,-0.6694948,1.0,0.44354838
median,none,69,-0.80299306,0.832,0.322
median,none,70,-0.7463405,0.90262175,0.52059925
